scenario_type,run_id,source_file,evaluation_phase,rows,devices,raw_false_alerts,raw_false_alert_rate,drift_aware_false_alerts,drift_aware_false_alert_rate,false_alert_reduction_percent,normal_drift_rows,drift_detections,adaptation_updates,latency_mean_ms,latency_p95_ms
communication,1,communication_drift_run_01.csv,baseline,450,meter_01;meter_02;meter_03,11,0.024444444444444446,11,0.024444444444444446,0.0,0,0,0,30.666455271110003,40.84352750001585
communication,1,communication_drift_run_01.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,31.506381105259607,46.445536200008064
communication,1,communication_drift_run_01.csv,drift_post_adaptation,1278,meter_01;meter_02;meter_03,1278,1.0,0,0.0,100.0,1278,0,66,31.347902483566703,46.50614654999572
communication,1,communication_drift_run_01.csv,drift_pre_detection,15,meter_01;meter_02;meter_03,12,0.8,12,0.8,0.0,0,0,0,31.689484000003176,43.77263559997573
communication,1,communication_drift_run_01.csv,recovery,75,meter_01;meter_02;meter_03,5,0.06666666666666667,2,0.02666666666666667,60.0,67,3,3,31.121930426691808,45.47559860009187
communication,2,communication_drift_run_02.csv,baseline,450,meter_01;meter_02;meter_03,9,0.02,9,0.02,0.0,0,0,0,31.17762955334102,41.48312284996791
communication,2,communication_drift_run_02.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,32.008769578903426,47.274887999810744
communication,2,communication_drift_run_02.csv,drift_post_adaptation,1278,meter_01;meter_02;meter_03,1278,1.0,0,0.0,100.0,1278,0,66,31.913350370919055,47.24948240059348
communication,2,communication_drift_run_02.csv,drift_pre_detection,15,meter_01;meter_02;meter_03,12,0.8,12,0.8,0.0,0,0,0,32.455411999823504,47.17560170020079
communication,2,communication_drift_run_02.csv,recovery,75,meter_01;meter_02;meter_03,6,0.08,2,0.02666666666666667,66.66666666666667,70,3,3,31.03713882656545,39.50633859994923
communication,3,communication_drift_run_03.csv,baseline,450,meter_01;meter_02;meter_03,8,0.017777777777777778,8,0.017777777777777778,0.0,0,0,0,31.05508302001706,46.201535750196854
communication,3,communication_drift_run_03.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,31.721499929852527,46.5960970001106
communication,3,communication_drift_run_03.csv,drift_post_adaptation,1278,meter_01;meter_02;meter_03,1278,1.0,0,0.0,100.0,1278,0,66,31.46896000627054,46.69797799992921
communication,3,communication_drift_run_03.csv,drift_pre_detection,15,meter_01;meter_02;meter_03,12,0.8,12,0.8,0.0,0,0,0,32.150388400077645,46.729469599904405
communication,3,communication_drift_run_03.csv,recovery,72,meter_01;meter_02;meter_03,7,0.09722222222222222,3,0.041666666666666664,57.142857142857146,62,3,3,31.225543374956843,43.62993469958384
communication,4,communication_drift_run_04.csv,baseline,450,meter_01;meter_02;meter_03,9,0.02,9,0.02,0.0,0,0,0,31.096780833322555,41.38314780034307
communication,4,communication_drift_run_04.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,31.613154245701082,47.00905039990175
communication,4,communication_drift_run_04.csv,drift_post_adaptation,1278,meter_01;meter_02;meter_03,1278,1.0,0,0.0,100.0,1278,0,66,31.62464652739726,46.9047734995911
communication,4,communication_drift_run_04.csv,drift_pre_detection,15,meter_01;meter_02;meter_03,12,0.8,12,0.8,0.0,0,0,0,32.468375399973105,46.800749999965774
communication,4,communication_drift_run_04.csv,recovery,75,meter_01;meter_02;meter_03,5,0.06666666666666667,1,0.013333333333333334,80.0,67,3,3,30.718429613249707,36.55443839988946
communication,5,communication_drift_run_05.csv,baseline,450,meter_01;meter_02;meter_03,12,0.02666666666666667,12,0.02666666666666667,0.0,0,0,0,31.16921334222045,42.77969999961888
communication,5,communication_drift_run_05.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,31.06811564912118,46.66330120016937
communication,5,communication_drift_run_05.csv,drift_post_adaptation,1278,meter_01;meter_02;meter_03,1278,1.0,0,0.0,100.0,1278,0,66,31.636157309845924,46.783736899942596
communication,5,communication_drift_run_05.csv,drift_pre_detection,15,meter_01;meter_02;meter_03,12,0.8,12,0.8,0.0,0,0,0,32.1769411331843,46.77866849951897
communication,5,communication_drift_run_05.csv,recovery,75,meter_01;meter_02;meter_03,13,0.17333333333333334,7,0.09333333333333334,46.15384615384615,63,3,3,31.41165266657481,42.800395399899564
measurement,1,measurement_drift_run_01.csv,baseline,150,meter_02,3,0.02,3,0.02,0.0,0,0,0,31.022657440002302,41.11870099999635
measurement,1,measurement_drift_run_01.csv,drift_detected_pre_adaptation,19,meter_02,2,0.10526315789473684,0,0.0,100.0,19,1,0,31.716350368415796,46.610493899993344
measurement,1,measurement_drift_run_01.csv,drift_post_adaptation,234,meter_02,39,0.16666666666666666,26,0.1111111111111111,33.333333333333336,200,0,10,31.3363186623918,46.43405245001304
measurement,1,measurement_drift_run_01.csv,drift_pre_detection,47,meter_02,21,0.44680851063829785,21,0.44680851063829785,0.0,0,0,0,31.102338212767886,42.791646499995274
measurement,1,measurement_drift_run_01.csv,recovery,146,meter_02,4,0.0273972602739726,2,0.0136986301369863,50.0,144,1,8,31.228178883559988,44.044663500045544
measurement,1,measurement_drift_run_01.csv,unaffected_control,1192,meter_01;meter_03,21,0.01761744966442953,21,0.01761744966442953,0.0,0,0,0,31.144630953859515,41.38926440007822
measurement,2,measurement_drift_run_02.csv,baseline,150,meter_02,2,0.013333333333333334,2,0.013333333333333334,0.0,0,0,0,31.212905099991985,41.61066775018298
measurement,2,measurement_drift_run_02.csv,drift_detected_pre_adaptation,19,meter_02,1,0.05263157894736842,0,0.0,100.0,19,1,0,31.18694336837124,37.36793970006145
measurement,2,measurement_drift_run_02.csv,drift_post_adaptation,234,meter_02,27,0.11538461538461539,22,0.09401709401709402,18.51851851851852,198,0,10,31.52191841452136,41.73294330007593
