scenario_type,evaluation_phase,runs,rows_mean,rows_std,rows_min,rows_max,raw_false_alert_rate_mean,raw_false_alert_rate_std,raw_false_alert_rate_min,raw_false_alert_rate_max,drift_aware_false_alert_rate_mean,drift_aware_false_alert_rate_std,drift_aware_false_alert_rate_min,drift_aware_false_alert_rate_max,false_alert_reduction_percent_mean,false_alert_reduction_percent_std,false_alert_reduction_percent_min,false_alert_reduction_percent_max,normal_drift_rows_mean,normal_drift_rows_std,normal_drift_rows_min,normal_drift_rows_max,drift_detections_mean,drift_detections_std,drift_detections_min,drift_detections_max,adaptation_updates_mean,adaptation_updates_std,adaptation_updates_min,adaptation_updates_max,latency_mean_ms_mean,latency_mean_ms_std,latency_mean_ms_min,latency_mean_ms_max,latency_p95_ms_mean,latency_p95_ms_std,latency_p95_ms_min,latency_p95_ms_max
communication,baseline,5,450.0,0.0,450,450,0.021777777777777778,0.0036514837167011083,0.017777777777777778,0.02666666666666667,0.021777777777777778,0.0036514837167011083,0.017777777777777778,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,31.033032404002217,0.21117674457538307,30.666455271110003,31.17762955334102,42.53820678002852,2.167809915958448,40.84352750001585,46.201535750196854
communication,drift_detected_pre_adaptation,5,57.0,0.0,57,57,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,57.0,0.0,57,57,3.0,0.0,3,3,0.0,0.0,0,0,31.583584101767563,0.34363712232503585,31.06811564912118,32.008769578903426,46.79777456000011,0.3373067965113953,46.445536200008064,47.274887999810744
communication,drift_post_adaptation,5,1278.0,0.0,1278,1278,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1278.0,0.0,1278,1278,0.0,0.0,0,0,66.0,0.0,66,66,31.598203339599895,0.21260982757661634,31.347902483566703,31.913350370919055,46.82842347001042,0.2765841975890963,46.50614654999572,47.24948240059348
communication,drift_pre_detection,5,15.0,0.0,15,15,0.8,0.0,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,32.188120186612345,0.3162967766087651,31.689484000003176,32.468375399973105,46.25142507991313,1.397029864188383,43.77263559997573,47.17560170020079
communication,recovery,5,74.4,1.3416407864998734,72,75,0.09677777777777778,0.04459765259835938,0.06666666666666667,0.17333333333333334,0.04033333333333333,0.03127832050052134,0.013333333333333334,0.09333333333333334,61.992673992674,12.494698254425067,46.15384615384615,80.0,65.8,3.2710854467592236,62,70,3.0,0.0,3,3,3.0,0.0,3,3,31.102938981607725,0.2563560835534784,30.718429613249707,31.41165266657481,41.593341139882796,3.5504484479496004,36.55443839988946,45.47559860009187
measurement,baseline,5,150.0,0.0,150,150,0.02,0.012472191289246471,0.006666666666666667,0.04,0.02,0.012472191289246471,0.006666666666666667,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,31.170670266670793,0.23535702842245299,30.920551066668242,31.538341193318047,42.95067039006254,2.3473702181661475,41.06179320006049,45.988497400048786
measurement,drift_detected_pre_adaptation,5,19.0,0.0,19,19,0.11578947368421053,0.06862318321265946,0.05263157894736842,0.21052631578947367,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,19.0,0.0,19,19,1.0,0.0,1,1,0.0,0.0,0,0,31.431201663150734,0.31511377040446925,31.065090999953483,31.779948473716725,42.9262874000551,4.279904817286474,37.36793970006145,46.89940379989821
measurement,drift_post_adaptation,5,233.8,0.44721359549995515,233,234,0.1368731888045193,0.023436120037767377,0.1111111111111111,0.16666666666666666,0.1018011078096915,0.019474561148708422,0.07264957264957266,0.12393162393162394,25.57050357050357,8.133125340655305,17.142857142857142,34.61538461538461,197.4,5.639148871948671,188,203,0.0,0.0,0,0,10.2,0.44721359549995815,10,11,31.380733502425567,0.08235670278279518,31.314413841195456,31.52191841452136,44.01190325000698,2.429837414332064,41.51297939997676,46.51954704979744
measurement,drift_pre_detection,5,47.2,0.44721359549995765,47,48,0.4153368794326241,0.020738807739875173,0.3958333333333333,0.44680851063829785,0.4153368794326241,0.020738807739875173,0.3958333333333333,0.44680851063829785,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,31.15355096924771,0.17166137949085147,30.92996185105608,31.38282134045283,43.335128780072395,2.0313299231257442,41.49159260005035,46.137490000182865
measurement,recovery,5,146.0,0.0,146,146,0.03013698630136986,0.0037515243664737402,0.0273972602739726,0.03424657534246575,0.010958904109589041,0.007809420719857109,0.0,0.02054794520547945,65.0,23.45207879911715,40.0,100.0,143.0,0.70710678118655,142,144,1.0,0.0,1,1,7.6,0.5477225575051661,7,8,31.28904100960102,0.16575035973218644,31.07062308907637,31.520922506861595,44.48946139987697,1.9793274163236045,41.56567449967951,46.786289000010576
measurement,unaffected_control,5,1192.0,0.0,1192,1192,0.024832214765100672,0.004730829590560968,0.01761744966442953,0.02936241610738255,0.024832214765100672,0.004730829590560968,0.01761744966442953,0.02936241610738255,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,31.16691245285417,0.12904372878005504,30.994904979025176,31.315172176176784,41.510909529966966,0.1814821156305747,41.27323329989849,41.694260649819626
