scenario_type,run_id,source_file,rows,active_drift_rows,recovery_rows,mean_detection_delay_messages,active_alert_reduction_percent,adaptation_updates,latency_mean_ms,latency_p95_ms,latency_p99_ms
communication,1,communication_drift_run_01.csv,1875,1350,75,5.0,99.10913140311804,69,31.182866672533052,46.42292379999162,46.65440934005347
communication,2,communication_drift_run_02.csv,1875,1350,75,5.0,99.10913140311804,69,31.708966149880144,47.1348464001494,47.495458380271884
communication,3,communication_drift_run_03.csv,1872,1350,72,5.0,99.10913140311804,69,31.373257848301858,46.63805605018751,46.879451909990166
communication,4,communication_drift_run_04.csv,1875,1350,75,5.0,99.10913140311804,69,31.46811054987047,46.76428860066153,47.14848965953934
communication,5,communication_drift_run_05.csv,1875,1350,75,5.0,99.10913140311804,69,31.50216837598564,46.69029660026354,47.07405090019165
measurement,1,measurement_drift_run_01.csv,1788,300,146,47.0,24.193548387096776,18,31.171270665548278,41.43274524997764,46.86129734003032
measurement,2,measurement_drift_run_02.csv,1788,300,146,47.0,12.5,18,31.3508663987705,41.765878150044955,47.328624070173646
measurement,3,measurement_drift_run_03.csv,1788,300,146,48.0,20.0,18,31.307465134228558,41.69797680006013,47.22202142001606
measurement,4,measurement_drift_run_04.csv,1788,300,146,47.0,17.24137931034483,17,31.16785326343234,43.757656650291196,47.013329920055185
measurement,5,measurement_drift_run_05.csv,1788,300,146,47.0,21.73913043478261,18,31.04062801510149,41.353945100104276,46.69584220010165
