scenario_type,run_id,source_file,evaluation_phase,rows,devices,raw_false_alerts,raw_false_alert_rate,drift_aware_false_alerts,drift_aware_false_alert_rate,false_alert_reduction_percent,normal_drift_rows,drift_detections,adaptation_updates,latency_mean_ms,latency_p95_ms
communication,1,communication_drift_run_01.csv,baseline,450,meter_01;meter_02;meter_03,14,0.03111111111111111,14,0.03111111111111111,0.0,0,0,0,15.2020485052425,24.33743549045175
communication,1,communication_drift_run_01.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,15.520205423072504,24.990858370438218
communication,1,communication_drift_run_01.csv,drift_post_adaptation,1278,meter_01;meter_02;meter_03,1278,1.0,0,0.0,100.0,1278,0,66,15.407579057013356,24.69786253059283
communication,1,communication_drift_run_01.csv,drift_pre_detection,15,meter_01;meter_02;meter_03,12,0.8,12,0.8,0.0,0,0,0,15.770477972303828,24.40960449166596
communication,1,communication_drift_run_01.csv,recovery,72,meter_01;meter_02;meter_03,7,0.09722222222222222,4,0.05555555555555555,42.857142857142854,63,3,3,15.378325776610938,24.26762516843155
communication,2,communication_drift_run_02.csv,baseline,450,meter_01;meter_02;meter_03,9,0.02,9,0.02,0.0,0,0,0,15.046725445944402,24.31094212224707
communication,2,communication_drift_run_02.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,15.279196660246765,24.48173342272639
communication,2,communication_drift_run_02.csv,drift_post_adaptation,1281,meter_01;meter_02;meter_03,1281,1.0,0,0.0,100.0,1281,0,66,15.470382406330499,24.743417045101523
communication,2,communication_drift_run_02.csv,drift_pre_detection,12,meter_01;meter_02;meter_03,9,0.75,9,0.75,0.0,0,0,0,14.89521520367513,23.116547195240855
communication,2,communication_drift_run_02.csv,recovery,72,meter_01;meter_02;meter_03,4,0.05555555555555555,0,0.0,100.0,63,3,3,15.611369182200482,24.57952474942431
communication,3,communication_drift_run_03.csv,baseline,450,meter_01;meter_02;meter_03,6,0.013333333333333334,6,0.013333333333333334,0.0,0,0,0,15.265265479683876,24.691735906526446
communication,3,communication_drift_run_03.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,15.624951027954618,24.90311665460467
communication,3,communication_drift_run_03.csv,drift_post_adaptation,1278,meter_01;meter_02;meter_03,1278,1.0,0,0.0,100.0,1278,0,66,15.336785894339096,24.656781344674528
communication,3,communication_drift_run_03.csv,drift_pre_detection,15,meter_01;meter_02;meter_03,12,0.8,12,0.8,0.0,0,0,0,15.240330606078109,24.275487544946373
communication,3,communication_drift_run_03.csv,recovery,72,meter_01;meter_02;meter_03,6,0.08333333333333333,2,0.027777777777777776,66.66666666666667,64,3,3,15.600869263936248,25.051223393529654
communication,4,communication_drift_run_04.csv,baseline,450,meter_01;meter_02;meter_03,5,0.011111111111111112,5,0.011111111111111112,0.0,0,0,0,15.184314374087585,24.552214355207976
communication,4,communication_drift_run_04.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,15.543105971198855,24.78206665255129
communication,4,communication_drift_run_04.csv,drift_post_adaptation,1278,meter_01;meter_02;meter_03,1278,1.0,0,0.0,100.0,1278,0,66,15.283457936860435,24.67666885349899
communication,4,communication_drift_run_04.csv,drift_pre_detection,15,meter_01;meter_02;meter_03,12,0.8,12,0.8,0.0,0,0,0,15.527775169660648,24.465621216222644
communication,4,communication_drift_run_04.csv,recovery,72,meter_01;meter_02;meter_03,6,0.08333333333333333,3,0.041666666666666664,50.0,60,3,3,15.234452572056195,24.83430610736832
communication,5,communication_drift_run_05.csv,baseline,450,meter_01;meter_02;meter_03,8,0.017777777777777778,8,0.017777777777777778,0.0,0,0,0,14.95816628759106,24.116997502278533
communication,5,communication_drift_run_05.csv,drift_detected_pre_adaptation,57,meter_01;meter_02;meter_03,57,1.0,0,0.0,100.0,57,3,0,15.357875739011849,24.614458112046123
communication,5,communication_drift_run_05.csv,drift_post_adaptation,1278,meter_01;meter_02;meter_03,1278,1.0,0,0.0,100.0,1278,0,66,15.216264011832434,24.471325043123215
communication,5,communication_drift_run_05.csv,drift_pre_detection,15,meter_01;meter_02;meter_03,13,0.8666666666666667,13,0.8666666666666667,0.0,0,0,0,15.235780645161867,24.19576244428754
communication,5,communication_drift_run_05.csv,recovery,72,meter_01;meter_02;meter_03,6,0.08333333333333333,2,0.027777777777777776,66.66666666666667,65,3,3,14.769665046413946,23.836333444342017
measurement,1,measurement_drift_run_01.csv,baseline,150,meter_02,2,0.013333333333333334,2,0.013333333333333334,0.0,0,0,0,12.72596722934395,15.597520594019441
measurement,1,measurement_drift_run_01.csv,drift_detected_pre_adaptation,19,meter_02,2,0.10526315789473684,0,0.0,100.0,19,1,0,12.399114080165562,13.36065449286252
measurement,1,measurement_drift_run_01.csv,drift_post_adaptation,234,meter_02,37,0.1581196581196581,24,0.10256410256410256,35.13513513513514,197,0,10,12.611540762755352,13.142279139719903
measurement,1,measurement_drift_run_01.csv,drift_pre_detection,47,meter_02,21,0.44680851063829785,21,0.44680851063829785,0.0,0,0,0,12.561883762518459,13.007216015830634
measurement,1,measurement_drift_run_01.csv,recovery,146,meter_02,3,0.02054794520547945,1,0.00684931506849315,66.66666666666667,145,1,8,12.621957180409195,13.304000021889808
measurement,1,measurement_drift_run_01.csv,unaffected_control,1192,meter_01;meter_03,16,0.013422818791946308,16,0.013422818791946308,0.0,0,0,0,16.43309449201181,24.71367056714371
measurement,2,measurement_drift_run_02.csv,baseline,150,meter_02,1,0.006666666666666667,1,0.006666666666666667,0.0,0,0,0,12.428651081087688,13.273299939464776
measurement,2,measurement_drift_run_02.csv,drift_detected_pre_adaptation,19,meter_02,0,0.0,0,0.0,0.0,19,1,0,12.46580262178261,13.165624858811498
