scenario_type,evaluation_phase,runs,rows_mean,rows_std,rows_min,rows_max,raw_false_alert_rate_mean,raw_false_alert_rate_std,raw_false_alert_rate_min,raw_false_alert_rate_max,drift_aware_false_alert_rate_mean,drift_aware_false_alert_rate_std,drift_aware_false_alert_rate_min,drift_aware_false_alert_rate_max,false_alert_reduction_percent_mean,false_alert_reduction_percent_std,false_alert_reduction_percent_min,false_alert_reduction_percent_max,normal_drift_rows_mean,normal_drift_rows_std,normal_drift_rows_min,normal_drift_rows_max,drift_detections_mean,drift_detections_std,drift_detections_min,drift_detections_max,adaptation_updates_mean,adaptation_updates_std,adaptation_updates_min,adaptation_updates_max,latency_mean_ms_mean,latency_mean_ms_std,latency_mean_ms_min,latency_mean_ms_max,latency_p95_ms_mean,latency_p95_ms_std,latency_p95_ms_min,latency_p95_ms_max
communication,baseline,5,450.0,0.0,450,450,0.018666666666666668,0.007793634629666746,0.011111111111111112,0.03111111111111111,0.018666666666666668,0.007793634629666746,0.011111111111111112,0.03111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,15.131304018509885,0.12539015320823607,14.95816628759106,15.265265479683876,24.401865075342354,0.2237172846023984,24.116997502278533,24.691735906526446
communication,drift_detected_pre_adaptation,5,57.0,0.0,57,57,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,57.0,0.0,57,57,3.0,0.0,3,3,0.0,0.0,0,0,15.465066964296918,0.14206598709041662,15.279196660246765,15.624951027954618,24.754446642473336,0.2078012460616497,24.48173342272639,24.990858370438218
communication,drift_post_adaptation,5,1278.6,1.3416407864998674,1278,1281,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1278.6,1.3416407864998674,1278,1281,0.0,0.0,0,0,66.0,0.0,66,66,15.342893861275163,0.1000531843684007,15.216264011832434,15.470382406330499,24.649210963398218,0.10451842882229127,24.471325043123215,24.743417045101523
communication,drift_pre_detection,5,14.4,1.3416407864998738,12,15,0.8033333333333333,0.04149966532662914,0.75,0.8666666666666667,0.8033333333333333,0.04149966532662914,0.75,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,15.333915919375917,0.3312909958948811,14.89521520367513,15.770477972303828,24.092604578472674,0.5559689957789653,23.116547195240855,24.465621216222644
communication,recovery,5,72.0,0.0,72,72,0.08055555555555556,0.015214515486254618,0.05555555555555555,0.09722222222222222,0.03055555555555555,0.02060055135304351,0.0,0.05555555555555555,65.23809523809524,22.054354622684595,42.857142857142854,100.0,63.0,1.8708286933869709,60,65,3.0,0.0,3,3,3.0,0.0,3,3,15.31893636824356,0.3454586469395922,14.769665046413946,15.611369182200482,24.51380257261917,0.4783907380896822,23.836333444342017,25.051223393529654
measurement,baseline,5,150.0,0.0,150,150,0.013333333333333332,0.008164965809277261,0.006666666666666667,0.02666666666666667,0.013333333333333332,0.008164965809277261,0.006666666666666667,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,12.64509435929358,0.13686515818243253,12.428651081087688,12.755239160420993,13.871378533076495,0.9736789529799312,13.273299939464776,15.597520594019441
measurement,drift_detected_pre_adaptation,5,19.0,0.0,19,19,0.07368421052631578,0.07061267297367757,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,60.0,54.772255750516614,0.0,100.0,19.0,0.0,19,19,1.0,0.0,1,1,0.0,0.0,0,0,12.635949582449701,0.20402475433122647,12.399114080165562,12.878057081252337,13.506940905936062,0.4391594818033214,13.06747435592115,14.043579855933784
measurement,drift_post_adaptation,5,234.0,0.0,234,234,0.12905982905982905,0.0196766913388399,0.1111111111111111,0.1581196581196581,0.09230769230769231,0.02170670957128255,0.07264957264957266,0.12393162393162394,28.74818087318087,11.028695894354488,9.375,35.13513513513514,197.4,4.827007354458869,190,203,0.0,0.0,0,0,10.2,0.44721359549995804,10,11,12.802973210127053,0.11322351896386446,12.611540762755352,12.888744124211371,13.4948826325126,0.23958512943382637,13.142279139719903,13.765150599647315
measurement,drift_pre_detection,5,47.0,0.0,47,47,0.4297872340425532,0.017801277160299493,0.40425531914893614,0.44680851063829785,0.4297872340425532,0.017801277160299493,0.40425531914893614,0.44680851063829785,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,12.61561203331865,0.07509361453690133,12.545350181097364,12.734365173952376,13.296411763876677,0.18556447302606274,13.007216015830634,13.522979570552707
measurement,recovery,5,145.8,0.44721359549995715,145,146,0.031544638639584316,0.010369139914559261,0.02054794520547945,0.04794520547945205,0.0054983467170524325,0.005764478585379771,0.0,0.013793103448275862,78.33333333333334,21.730674684008825,50.0,100.0,143.8,2.1679483388678773,140,145,1.0,0.0,1,1,7.4,0.5477225575051662,7,8,12.778915204241938,0.09162779241776738,12.621957180409195,12.85411218621398,13.709217091090977,0.3081974247333253,13.304000021889808,14.025312615558505
measurement,unaffected_control,5,1191.6,0.8944271909999222,1190,1192,0.017286955050476567,0.004174520189024849,0.013422818791946308,0.02181208053691275,0.017286955050476567,0.004174520189024849,0.013422818791946308,0.02181208053691275,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,16.55932509994553,0.09324134212741278,16.43309449201181,16.668111396006488,24.717143587768078,0.030450435685295957,24.681453930679705,24.765326955821365
