scenario_type,run_id,source_file,rows,active_drift_rows,recovery_rows,mean_detection_delay_messages,active_alert_reduction_percent,adaptation_updates,latency_mean_ms,latency_p95_ms,latency_p99_ms
communication,1,communication_drift_run_01.csv,1872,1350,72,5.0,99.10913140311804,69,15.363384720533052,24.62028304580599,25.61001893132925
communication,2,communication_drift_run_02.csv,1872,1350,72,4.0,99.33184855233853,69,15.364456029049654,24.626268376596272,25.404383041895926
communication,3,communication_drift_run_03.csv,1872,1350,72,5.0,99.10913140311804,69,15.337751919610632,24.690468970220536,25.264436323195696
communication,4,communication_drift_run_04.csv,1872,1350,72,5.0,99.10913140311804,69,15.26760414783031,24.631166248582293,25.621020814869553
communication,5,communication_drift_run_05.csv,1872,1350,72,5.0,99.03560830860535,69,15.141512685192701,24.352758366148915,25.239916052669287
measurement,1,measurement_drift_run_01.csv,1788,300,146,47.0,25.0,18,15.166130710327561,24.458981479983777,25.514981562737375
measurement,2,measurement_drift_run_02.csv,1788,300,146,47.0,18.0,18,15.226401915509145,24.472433445043855,25.09669456863776
measurement,3,measurement_drift_run_03.csv,1788,300,146,47.0,19.148936170212767,18,15.318361635375101,24.497362482361495,25.26229722891003
measurement,4,measurement_drift_run_04.csv,1785,300,145,47.0,22.916666666666668,17,15.379552982997994,24.538899585604668,25.22600500844419
measurement,5,measurement_drift_run_05.csv,1788,300,146,47.0,11.11111111111111,17,15.336056116846509,24.507495528087016,25.22620666306466
