run_id,pipeline,pipeline_mode,benchmark_mode,platform_label,system,machine,python_version,logical_cpu_count,input_file,configured_message_rate,duration_seconds,target_messages,measured_messages,achieved_message_rate,warmup_messages_total,warmup_device_counts,failed_messages,deadline_misses,deadline_miss_rate,elapsed_seconds,total_latency_mean_ms,total_latency_p95_ms,model_inference_mean_ms,process_peak_memory_before_mb,process_peak_memory_after_mb,temperature_before_c,temperature_after_c,throttled_before,throttled_after,process_cpu_seconds,cpu_time_per_message_ms,cpu_percent_single_core_equivalent,cpu_percent_total_machine_capacity
1,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.999990631629286,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000062455999796,3.0342638167136706,3.341241100588377,0.738641383304639,153.328125,153.328125,54.9,51.0,0x0,0x0,0.1830985409999999,3.0516423499999985,0.9154898461083173,0.22887246152707932
2,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.99999072867868,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000061808999817,3.0606108166163417,3.380873550167962,0.7527760832241862,153.3125,153.3125,56.5,54.3,0x0,0x0,0.184541144,3.075685733333333,0.9227028684329286,0.23067571710823215
3,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.999991075176461,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.0000594990006,3.0991132000356933,3.5773459496340365,0.7744365666894737,153.3125,153.3125,56.5,56.0,0x0,0x0,0.18685863000000014,3.1143105000000024,0.9342903705328349,0.23357259263320873
4,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.9999911569261353,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005895399954,3.0605613666314944,3.3773313994515775,0.7489387333256067,153.296875,153.296875,59.8,56.5,0x0,0x0,0.18447220600000014,3.074536766666669,0.9223583111644279,0.23058957779110698
5,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.9999912737755112,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005817499914,3.0632189500768923,3.3377298997947946,0.7593156833687923,153.3125,153.3125,58.7,55.4,0x0,0x0,0.18480429200000015,3.0800715333333355,0.9240187722604367,0.23100469306510918
1,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.999969620092068,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00006076000045,3.043008695035496,3.3211168999059737,0.7299094099926151,153.328125,153.328125,54.9,52.7,0x0,0x0,0.6118541559999999,3.05927078,3.0592614859635363,0.7648153714908841
2,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.99997057658692,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005884699931,3.0266302300151438,3.3111244998508482,0.7281252250095349,153.296875,153.296875,58.2,55.4,0x0,0x0,0.608657218,3.04328609,3.0432771356136255,0.7608192839034064
3,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.99997026858836,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005946300007,3.018778285013468,3.3026692005478253,0.7220835749785692,153.328125,153.328125,57.6,54.9,0x0,0x0,0.607227371,3.036136855,3.036127828136537,0.7590319570341343
4,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.999968533598683,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000062933000663,3.0225703800169867,3.3111865503542504,0.726405054992938,153.296875,153.296875,58.2,56.0,0x0,0x0,0.6079859749999998,3.0399298749999994,3.039920309434657,0.7599800773586642
5,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.999970422587182,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.0000591550006,3.0194336199883764,3.303700750666394,0.7250923349874938,153.3125,153.3125,58.7,55.4,0x0,0x0,0.6071660379999999,3.0358301899999995,3.0358212107997224,0.7589553026999306
