run_id,pipeline,pipeline_mode,benchmark_mode,platform_label,system,machine,python_version,logical_cpu_count,input_file,configured_message_rate,duration_seconds,target_messages,measured_messages,achieved_message_rate,warmup_messages_total,warmup_device_counts,failed_messages,deadline_misses,deadline_miss_rate,elapsed_seconds,total_latency_mean_ms,total_latency_p95_ms,model_inference_mean_ms,process_peak_memory_before_mb,process_peak_memory_after_mb,temperature_before_c,temperature_after_c,throttled_before,throttled_after,process_cpu_seconds,cpu_time_per_message_ms,cpu_percent_single_core_equivalent,cpu_percent_total_machine_capacity
1,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.9999770701876285,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000076433000004,3.1696534833353476,3.320613249957205,0.7819002749954507,153.484375,153.484375,48.8,47.2,0x0,0x0,0.3823764270000001,3.1864702250000008,1.9118748284835618,0.47796870712089046
2,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.999981892354673,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000060358999917,3.0322806916691056,3.3009033000894306,0.735684166657317,153.3125,153.3125,50.5,47.7,0x0,0x0,0.36585773599999993,3.0488144666666663,1.8292831593148966,0.45732078982872415
3,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.999982035753795,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005988099997,3.0443127749909613,3.301192249864471,0.7502167833232912,153.296875,153.296875,51.0,47.2,0x0,0x0,0.36740473800000006,3.0617061500000005,1.8370181898756917,0.4592545474689229
4,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.999977342585543,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000075525000057,3.085250224982398,3.351251599929128,0.7595559749878097,153.3125,153.3125,51.6,48.3,0x0,0x0,0.3723551759999999,3.102959799999999,1.8617688494953761,0.46544221237384403
5,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.999980744861812,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00006418399994,3.030306008338357,3.3092851001015333,0.7417520416803806,153.28125,153.28125,49.9,49.4,0x0,0x0,0.3654143849999998,3.045119874999998,1.8270660615796,0.4567665153949
1,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.999983458645571,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000055138000107,38.5081208083515,44.55075085008957,36.380633075020796,167.015625,167.015625,52.1,47.2,0x0,0x0,4.621833129,38.515276075,23.109101935516748,5.777275483879187
2,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.999982382551754,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000058724999917,38.716223066660405,45.816578050028056,36.61731342500806,167.0,167.0,50.5,47.2,0x0,0x0,4.646806946,38.72339121666667,23.233966509265933,5.808491627316483
3,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.999979949566974,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000066835000098,40.35656639166897,46.61856274997262,38.18124248334319,167.015625,167.015625,50.5,50.5,0x0,0x0,4.842891192999999,40.35742660833332,24.214375046612062,6.0535937616530155
4,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.999981518856876,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000061604000166,38.47278244166432,44.058044249891275,36.372779158339576,167.015625,167.015625,52.7,49.4,0x0,0x0,4.617392593,38.47827160833333,23.086891852755524,5.771722963188881
5,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/normal_run_01.csv,6.0,20.0,120,120,5.999979698768653,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000067671000124,39.74167404999965,45.77113179990419,37.58845749998727,166.953125,166.953125,51.6,50.5,0x0,0x0,4.769382440000001,39.74485366666668,23.84683151305309,5.961707878263272
