section,metric,value
multi_view,macro_f1,0.9973500263751528
multi_view,recall,0.995
multi_view,false_positive_rate,0.0006497725795971
open_set,unseen_attack,gradual
open_set,unknown_recall,0.95
open_set,unknown_precision,0.8962264150943396
open_set,known_false_unknown_rate,0.01854974704890388
model_comparison,logistic_macro_f1,0.9973500263751528
model_comparison,random_forest_macro_f1,0.9995186945632992
model_comparison,logistic_inference_ms,0.0488024810329079
model_comparison,random_forest_inference_ms,5.908122740453109
model_comparison,logistic_model_size_mb,0.0036020278930664
model_comparison,random_forest_model_size_mb,7.941455841064453
edge_gateway,platform,macbook_emulated_edge_gateway
edge_gateway,mean_latency_ms,6.763459066073787
edge_gateway,p95_latency_ms,6.96299021365121
edge_gateway,throughput_messages_per_second,147.74841317855103
edge_gateway,peak_memory_mb,165.75
drift,runs,5
drift,measurement_detection_delay_mean,2.0
drift,communication_detection_delay_mean,4.8
drift,adaptation_delay_mean,113.0
drift,final_alert_rate_mean,0.0
drift,guarded_poisoning_shift_mean,1.2125739487636849
drift,unguarded_poisoning_shift_mean,7.221121006514636
limitations,edge_hardware,MacBook emulated edge gateway
limitations,raspberry_pi_measured,False
limitations,energy_measured,False
