fold,seed,model_name,feature_count,selected_threshold,accuracy,precision,recall,f1,macro_f1,false_positive_rate,specificity,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,training_seconds,inference_mean_ms,inference_p95_ms,model_size_mb,constant_recall,random_recall,replay_recall,topic_spoof_recall
1,42,random_forest,48,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7701,0,0,1200,1.1943877921439707,5.831535206176341,5.950593599118292,8.615406036376953,1.0,1.0,1.0,1.0
1,42,logistic_regression,48,0.46,0.9988765307268846,0.9933665008291874,0.9983333333333332,0.9958437240232751,0.9975971023337992,0.001038826126477,0.9989611738735228,0.9997740553174912,0.9991542771857226,7693,8,2,1198,0.0285382918082177,0.0478830062784254,0.0526274088770151,0.0036020278930664,1.0,0.9933333333333332,1.0,1.0
2,43,random_forest,48,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7704,0,0,1200,1.1599853751249611,5.856148961465806,5.979578942060471,8.22482681274414,1.0,1.0,1.0,1.0
2,43,logistic_regression,48,0.7000000000000001,0.9988769092542678,0.9933665008291874,0.9983333333333332,0.9958437240232751,0.9975972288471135,0.0010384215991692,0.9989615784008308,0.9999845318449292,0.9998981573586774,7696,8,2,1198,0.0274475002661347,0.0494990269653499,0.0550951808691024,0.0036020278930664,1.0,0.9933333333333332,1.0,1.0
3,44,random_forest,48,0.53,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7695,0,0,1200,1.1519231251440942,5.861148574389517,5.9791200794279575,8.314014434814453,1.0,1.0,1.0,1.0
3,44,logistic_regression,48,0.19,0.9982012366498032,0.9884488448844884,0.9983333333333332,0.9933665008291874,0.9961630267184044,0.0018193632228719,0.998180636777128,0.9997414988087504,0.9992520582928544,7681,14,2,1198,0.0215822500176727,0.048653622623533,0.0542562454938888,0.0036020278930664,1.0,0.9933333333333332,1.0,1.0
4,45,random_forest,48,0.5,0.9997751545812256,0.9983361064891848,1.0,0.9991673605328892,0.9995186945632992,0.0002599090318388,0.9997400909681612,1.0,1.0,7693,2,0,1200,1.1538646672852335,5.97566194832325,6.308320909738541,7.957157135009766,1.0,1.0,1.0,1.0
4,45,logistic_regression,48,0.81,0.9986509274873524,0.9991596638655462,0.9908333333333332,0.994979079497908,0.9970999293593436,0.0001299545159194,0.9998700454840804,0.9999004764998916,0.9996119568307223,7694,1,11,1189,0.024113374762237,0.0484006502665579,0.0539244851097464,0.0036020278930664,1.0,0.9633333333333334,1.0,1.0
5,46,random_forest,48,0.5,0.9997750028124648,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9995183053713096,0.0001300559240473,0.9998699440759526,0.9999998916200632,0.9999993061337774,7688,1,1,1199,1.1394267501309514,5.862336808349937,5.987426685169339,8.175769805908203,1.0,0.9966666666666668,1.0,1.0
5,46,logistic_regression,48,0.89,0.9987625154685568,0.9941812136325852,0.9966666666666668,0.9954223886808156,0.997353470763172,0.0009103914683313,0.9990896085316686,0.9994064030866606,0.9985530710488107,7682,7,4,1196,0.0194926247932016,0.0487667303532362,0.0526290386915206,0.0036020278930664,1.0,0.9866666666666668,1.0,1.0
